标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
三林板块+2011年次新房+双南两房+税少+诚意卖,中海御景熙岸(公寓) ,2室2厅,87.16平米,南,20,2011,三林,510,58
南北通透，采光充足，带大花园，安静，实惠,文化馨苑 ,2室2厅,76.24平米,南 北,6,2004,北蔡,585,76
内环内商品房小区得房率高，有钥匙随时看房,杏花新苑 ,3室2厅,81.78平米,南,6,1994,花木,695,85
2000年高档配套商品房 出门13号地铁 一梯两户南北格局,紫叶花园东园 ,2室2厅,82.04平米,南 北,6,2000,北蔡,610,74
此房满五 有产权车位 中+阳空调地暖装修好保养佳,阳光城丽景湾PLUS ,2室1厅,89.53平米,南,18,2016,康桥,630,70
免个税+随时可看可签+额度有放心用,金地未未来 ,3室1厅,89平米,南,15,2009,高行,799,89
8号线芦恒路站+电梯高层+精装修拎包入住+原动迁税费少,同康苑 ,3室1厅,87平米,南,32,2014,三林,515,59
满五年，买进价高，税费少，户型好,桃林一小区 ,3室1厅,80.15平米,南,7,1995,源深,720,89
原始户型无改动，税费低，视野采光好，近商场近地铁,翠竹苑 ,3室1厅,86.6平米,南 北,6,1997,三林,550,63
⭐⭐⭐⭐⭐南北大三房 带15平露台 满五年 户型方正,潍坊二村 ,3室2厅,80平米,南 北,6,1979,潍坊,580,72
价格没谁了 满五年 正3房南临河  地铁150米、,张杨南苑 ,3室1厅,87.87平米,南,6,1998,洋泾,738,83
拒绝爬楼，居家福利好房，精装三房双天井。低价诚售,罗山三村 ,3室1厅,84.88平米,南,6,1995,金杨,535,63
次新小区+带产权车位+精装修+满五only,世茂云图 ,3室2厅,86.32平米,南,15,2017,康桥,628,72
小区花园位置，电梯高层，南北通户型，满五年税少,杉林新月环林东路875弄 ,2室2厅,85平米,南,18,2006,三林,599,70
地铁口 西边套全明 老少皆宜 采光视野好，满五少税！,建业新村 ,3室1厅,81.2平米,南,6,1998,南码头,520,64
雅颂两房+位置佳不靠路+装修保养好+户型方正,绿洲康城亲水湾(中央区) ,2室2厅,74.85平米,南 北,18,2017,御桥,539,72
金东名苑双轨地铁2房南北房型近公园诚售,金东名苑 ,2室2厅,87.21平米,南,12,2007,金桥,599,68
新出房源，紧缺的中间楼层南北通，小区中间位置,金杨路750弄 ,2室2厅,83.5平米,南,6,1995,金杨,525,62
四周配套齐全，电梯房低总价进才北，业主诚意价格可谈,海光大楼 ,2室1厅,70.87平米,南,18,1990,洋泾,600,84
云山路双地铁，楼层佳，税少，全明，金桥国际商场,黄山始信苑 ,2室2厅,70.55平米,南,6,1998,金杨,688,97
张江东+2号线+唐镇国际社区+小三房+好位置+高区景观,保利金爵公寓 ,2室2厅,85.94平米,南,11,2009,唐镇,588,68
新上房源 视野开阔 带产权车位 精装自住 急售 双地铁,日月光水岸花园(一期) ,2室2厅,87.57平米,南,13,2010,张江,795,90
低总价，一梯两户，非顶楼，看房方便,黄山三村 ,3室1厅,82.42平米,南,6,1995,金杨,630,76
百安居精致装修，满五，7号13号双地铁，有产权车位，,大华锦绣华城(四街区) ,2室2厅,83.73平米,南 北,6,2010,北蔡,740,88
三林东商品房，户型佳，南北通，配套完善，环境优美,杉林新月环林东路875弄 ,2室2厅,85平米,南,18,2006,三林,508,59
二号线唐镇站 保利 央企开发小三房 南北通户型 采光好,保利金爵公寓 ,3室2厅,87.79平米,南 北,11,2009,唐镇,680,77
南北通 2+1户型 满五好房高楼层无遮挡 边套不靠马路,印象春城 ,2室2厅,89.04平米,南 北,18,2011,周浦,500,56
内环边+全屋精装修+安静位置+非底楼+诚心出售,光鸿苑 ,2室2厅,85.92平米,南,6,1998,南码头,715,83
精装修+两房+阁楼+商圈配套齐全。,双秀西园 ,3室2厅,86.01平米,南,6,2008,康桥,508,59
张江南 品质小区 全南户型 满五，诚意出售 周浦体育,印象春城 ,2室2厅,89.72平米,南,18,2011,周浦,560,62
中内环旁边+商品南北大两房+中间楼层+50平大露台,光鸿苑 ,2室2厅,86.9平米,南,6,1998,南码头,780,89
前滩太古里+地铁6/8/11+楼层好+南北户型三房,凌兆新村(上浦路69弄) ,3室1厅,88.94平米,南,6,1997,三林,560,62
南北通，小区央位，含地下车位，内无户口,永泰花苑 ,2室2厅,83.78平米,南,18,2005,三林,599,71
前滩三林，近地铁，满五v壹 ，税费少，面积大不靠路,品翠苑 ,3室1厅,82.17平米,南,5,1999,三林,500,60
前滩太古里+02年商品房+精装修+中间楼层,恒大华城天地苑 ,2室2厅,88.5平米,南,6,2002,杨思前滩,695,78
精装修有暖气，位置好，买进价格高，税费少，诚意出售,毕加索小镇(一期)(公寓) ,2室2厅,89.65平米,南,8,2010,唐镇,640,71
杨思前滩+金色中环+双南户型+阳光充足+出门忆丰广场,东方悦居 ,2室1厅,73.32平米,南,15,2008,杨思前滩,595,81
房子满五，税费少，南北户型精装修带暖气，户型方正!,中海御景熙岸(公寓) ,3室2厅,88.76平米,南 北,20,2011,三林,625,70
杉林新月879弄 电梯房 楼封好  满五,杉林新月环林东路879弄 ,3室1厅,76.54平米,南,8,2004,三林,510,66
印象春城 3室1厅 南,印象春城 ,3室1厅,88平米,南,18,2011,周浦,535,60
滨江两室 目前改成大一房 双朝南户型 位置安静,滨江大楼 ,2室1厅,70.76平米,南,24,1997,陆家嘴,540,76
聚焦前滩商品房+双线地铁+金色中环,申江豪城 ,2室1厅,89.59平米,南,9,2004,杨思前滩,760,84
+8，全朝南，采光充足，30平大客厅巴适的很，诚心卖,保利林语溪(公寓) ,2室2厅,89.66平米,南,18,2011,三林,525,58
2017年次新房精装修 空调加地暖 采光好标杆小区,九龙仓兰廷 ,3室2厅,89.52平米,南 北,18,未知,周浦,659,73
2010年商品房、刷卡入户、满五税少，看房随时方便,铂庭俱进家园 ,2室2厅,89.94平米,南,20,2010,高行,560,62
低总价电梯+内环内世纪公园+精装修+高区视野采光好,银良公寓 ,2室1厅,77.26平米,东南 南,18,1997,花木,546,70
高居电梯三房+视野开阔+采光充足+诚意出售+价格可谈,开发浦东 ,3室1厅,88.54平米,南,25,1991,潍坊,720,81
满五年唯，一中间楼层双南户型精装修采光很好,东明苑 ,2室1厅,78.1平米,南,24,1998,世博,580,74
精装2+1房 满五年wy税费低  高品质小区,印象春城 ,2室2厅,88.5平米,南,15,2011,周浦,530,59
内环内地段近地铁户型好户型 板正两房卫商圈配套齐全,洋泾花园城 ,2室2厅,89.5平米,南,6,1997,洋泾,680,75
此房楼层适中，户型方正且全明是很优质的一套。,金浦小区(塘桥) ,2室2厅,77.13平米,南,6,未知,塘桥,690,89
近地铁傍公园环境好位置佳有樱花,樱花坊 ,2室1厅,77.49平米,南 北,6,1996,花木,678,87
世博标杆小区地铁口50米，2房1大厅，边套厨卫全明户型,上南九村 ,2室1厅,89.86平米,南,24,1993,世博,680,75
四街区两房婚房装修落地窗户可拎包住家具留下近地铁,大华锦绣华城(四街区) ,2室2厅,82.54平米,南 北,6,2010,北蔡,730,88
内环内2号线世纪公园 南北②房 小区停车方便 满⑤V一,樱花坊 ,2室1厅,77.64平米,南 北,6,1995,花木,650,83
13号地铁，高区楼层，户型方正，全人车分流小区,大华锦绣华城(十五街区) ,2室1厅,73.71平米,东南,18,2013,北蔡,790,107
小区地段好，出门有6＋13双轨交的东明路站交通便利,云台二小区 ,3室1厅,71.15平米,西南,6,1995,世博,545,76
店长推荐 近地铁 中楼层 近公园 环境好 空气优,牡丹路399弄 ,2室2厅,74.41平米,南 北,6,1996,花木,650,87
三林前滩+6/11双地铁+中高楼层+无个税+品质商品电梯,金地湾流域（二期569弄） ,2室2厅,87.07平米,南 北,14,2009,三林,799,91
双南边套全明户型，格局方正，税费低，看房方便,光辉小区 ,2室1厅,79.16平米,南,16,未知,梅园,720,90
樱花坊 2室1厅 南,樱花坊 ,2室1厅,77.49平米,南,6,1995,花木,685,88
户型正气 满五年免征个税 前后无遮挡,证大家园(三期) ,2室2厅,85.52平米,南,6,2005,金桥,730,85
张江东 不靠路  自住精装修保养好  屋况很好,保利金爵公寓 ,2室1厅,81.39平米,南,11,2009,唐镇,540,66
塘桥地铁 商品房，满五，诚意出售有大天井,国地公寓 ,2室2厅,84.04平米,南 北,6,1998,塘桥,653,77
可看江景、三件套，全明精装电梯两房,东园三村小区 ,2室2厅,83.21平米,南 北,26,1994,陆家嘴,745,89
保利金爵公寓 2室2厅 南 北,保利金爵公寓 ,2室2厅,89.6平米,南 北,11,2009,唐镇,579,64
产权满五无个税＋自住装修＋ 保养如新＋ 拎包入住,久阳滨江公寓 ,1室1厅,70.44平米,南 北,25,2006,陆家嘴,550,78
一首动迁，满五好房，近地铁，诚意出售。,绿波城 ,2室2厅,86.6平米,南 北,6,2006,唐镇,500,57
南北两房，业主诚意，产权清晰，看房方便,新世纪花苑(二期)(浦东) ,2室1厅,77.21平米,南,6,1999,世博,639,82
龙阳CBD+7/13双轨交+中间楼层+满五税少+房东诚售,培花七村 ,3室1厅,87.55平米,南,6,1995,北蔡,540,61
位置安静+买进价很高税费少+楼梯2楼+诚意出售,新里城和合苑 ,2室1厅,71.99平米,南,6,1999,杨思前滩,565,78
03年钢混结构小区+一手动迁税费低+业主诚售，看房方便,花木鑫丰苑 ,2室2厅,80.9平米,南,6,2003,花木,800,98
刚需户型 次新品质小区 业主诚意出售,浦发罗兰翡丽 ,2室2厅,80.21平米,南,16,未知,唐镇,760,94
电梯两房，可看江，精装修，内环内好房,茂兴大厦 ,2室1厅,73.52平米,西南,24,1995,塘桥,588,79
瑞苑公寓 1室2厅 北,瑞苑公寓 ,1室2厅,81.39平米,北,40,2001,梅园,799,98
户型方正、配套设施齐全、交通便利、满五年、楼层..,今达花园 ,2室2厅,82.34平米,南,11,2001,金桥,568,68
⭐准电梯房已签合同⭐ 30万精装 附阁楼 花园位置 满五,金泽苑 ,2室1厅,78.86平米,南,6,1999,金桥,550,69
小户型  低总价  高层景观  18号地铁口,繁荣华庭 ,1室2厅,74.88平米,南,15,2016,周浦,509,67
金桥和苑电梯两房+中区+建平+地铁9号线,金桥和苑 ,2室1厅,81.4平米,南 北,10,2011,金桥,636,78
近地铁，婚房装修，满五年，一梯两户，中间楼层，税少,明丰佳园 ,2室2厅,82.5平米,南 北,6,1997,南码头,670,81
！精装修！拎包可住++正对公园无遮挡，售后公房税费少,博山小区 ,2室2厅,87.03平米,南,25,1990,洋泾,549,63
动迁税费少、户型方正、采光通风佳、配套齐全成熟,玉兰香苑(四期) ,2室1厅,81.1平米,南,14,2008,唐镇,518,63
香楠三房，总价低，单价低，楼层低，地铁近，诚意出售,香楠小区 ,3室1厅,80.34平米,南,6,1995,张江,510,63
滨江精装小2房 双朝南户型 电梯中楼层,滨江大楼 ,2室1厅,70.76平米,南,24,1997,陆家嘴,540,76
满五年，房龄新，精装修，商品房，近地铁6/7双轨,逸翠公馆 ,2室1厅,85.28平米,东 南,24,2011,世博,640,75
久阳滨江公寓 2室1厅 南,久阳滨江公寓 ,2室1厅,71.15平米,南,25,2006,陆家嘴,788,110
价格实惠。接地气。感受大地气息。拥抱阳光味道。,申立苑 ,2室1厅,80.15平米,南,11,2000,洋泾,748,93
精装修 河景 楼层位置好 户型好,新高苑(二期) ,2室2厅,86.03平米,南,11,2008,高行,530,61
售后公房、满五年税费少、全明户型，世纪大道地铁口！,竹园高层 ,3室1厅,85.36平米,南,26,1989,源深,730,85
十八号线地铁口，户型方正，健身楼层，视野开阔。,芳芯苑 ,2室1厅,71.02平米,南 北,6,1994,北蔡,500,70
中间层，满五税少，2002年建成、车位足楼间距大,聚龙家园 ,2室1厅,73.81平米,南,6,2002,北蔡,560,75
三林板块+2011年次新房+双南两房+税少+诚意卖,中海御景熙岸(公寓) ,2室2厅,87.16平米,南,20,2011,三林,540,61
婚房装修   Z央空调地暖全配  诚意出售,日月光水岸花园(一期) ,1室2厅,73.36平米,南,13,2010,张江,590,80
齐二小区 2室1厅 南 北,齐二小区 ,2室1厅,76.37平米,南 北,24,1996,世博,630,82
满五售后公房 税费低 全屋精装修 户型方正,博山小区 ,3室1厅,85.24平米,西 西南,25,1990,洋泾,540,63
M五V一，XUE可用，无贷款无抵押无户口，中高区精装修,中冶尚城 ,2室2厅,87.57平米,南,14,2010,高行,798,91
4/6号线蓝村站+南北通，双南双阳台+边套全明！,锦南花苑 ,2室1厅,86.31平米,南,6,1995,塘桥,598,69
雪野二村 3室1厅 南,雪野二村 ,3室1厅,72.7平米,南,6,1986,世博,610,83
世纪公园【精装两房】双南全明南北通户型，静待有缘人,牡丹小区(浦东) ,2室1厅,73.34平米,南,6,1996,花木,678,92
樱花坊 2室1厅 南,樱花坊 ,2室1厅,77.49平米,南,6,1995,花木,685,88
满五，税费低，户型方正全明，布局合理，近地铁,芳华路253弄 ,3室1厅,84.08平米,南,6,1995,北蔡,520,61
满五年v一 前排采光好 人车分流 风雨连廊,浦发罗兰翡丽 ,2室2厅,80平米,南,18,2017,唐镇,754,94
金色中环，紧凑3房  动迁分房 税费少,民星苑 ,3室1厅,76.79平米,南,6,1997,御桥,530,69
电梯中高区，满五年仅一套，税少，视野好，通风好,红莲小区 ,2室2厅,86.78平米,东北,25,1996,世博,508,58
地铁口+双南电梯大两房+全明户型,上南九村 ,2室1厅,78.08平米,南,24,1993,世博,578,74
次新小区，原始动迁税少，景观楼层视野无遮挡，诚售！,高申北苑 ,2室2厅,83.64平米,南,18,2018,高行,501,59
中环内，商品房三房，满五年税费低，业主诚心出售,春港丽园(公寓) ,3室1厅,86.27平米,南,6,2000,张江,500,57
上南花苑一期 2室1厅 南,上南花苑一期 ,2室1厅,81.44平米,南,7,1996,世博,649,79
02年新小区+中间楼层+小区中间位置 +停车方便,聚龙家园 ,2室1厅,74.08平米,南,6,2002,北蔡,538,72
前滩辐射区，近地铁，中间楼层 三房，钥匙，税费少。,绿茵苑(浦东) ,3室1厅,88.24平米,南 北,6,1998,杨思前滩,540,61
"满五首房,高楼层精装房屋,业主诚心出售.",印象春城 ,2室2厅,89.3平米,南,15,2011,周浦,580,64
三开间朝南，尊享高层河景，看房随时,日月光水岸花园(一期) ,2室2厅,86.5平米,南 北,13,2010,张江,750,86
靠 近公园 无遮挡 采光视野好 买进价高 税少,金地未未来 ,3室1厅,89.8平米,南,15,2009,高行,758,84
一手动迁，位置安静，采光好，随时可看,川杨新苑(六期) ,2室2厅,85.61平米,南,14,2012,张江,540,63
看星空，住宅产权，复式，精装，诚意出售,汤臣中心 ,1室1厅,72.06平米,东,25,未知,陆家嘴,528,73
金色中环，2017年次新小区，陆家嘴科创园旁，一手动迁,颐盛云锦苑 ,2室1厅,74.07平米,南,17,未知,御桥,500,67
张江东 不靠路  自住精装修保养好  屋况很好,保利金爵公寓 ,2室1厅,81.39平米,南,11,2009,唐镇,540,66
满五税少，6.9.14.三轨交通，诚意出售，中间楼层。,金杨新村三街坊 ,3室1厅,72.65平米,南,6,1995,金杨,500,68
居家精装，小区中间位置，地铁800米，诚售出售,永泰花苑 ,2室2厅,83.78平米,东南,18,2005,三林,635,75
满五仅一+全屋地暖+空调+前滩板块+拎包入住有附带！,上南山水苑 ,2室2厅,86.61平米,南 北,6,2001,杨思前滩,660,76
地铁口，南北通格局，户型好，交通便利，配套设施完善,巨峰家苑(公寓) ,2室2厅,74.94平米,南 北,6,2005,金桥,550,73
价格美丽，前滩南三林次新房 精装修拎包入住,中海御景熙岸(公寓) ,3室1厅,82.4平米,南 北,18,2011,三林,505,61
前滩三林板块+大三房南北通+税费低,绿地香颂(浦东)(公寓) ,3室2厅,89.73平米,南 北,18,2011,三林,560,62
满五年，南北通透，位置佳，前后无遮挡,中海御景熙岸(公寓) ,3室2厅,88.42平米,南 北,20,2011,三林,630,71
前滩三林+电梯中区+近地铁商场+房东诚心卖+满五为一,红柿苑 ,2室2厅,89.44平米,南 北,18,1999,三林,520,58
紫金瀚宫 2室1厅 南,紫金瀚宫 ,2室1厅,76.44平米,南,20,未知,潍坊,535,69
金色中环，09年房龄，降价百万，南北通飞机户型大两房,鹏宏苑 ,2室2厅,89.12平米,南 北,6,2009,北蔡,535,60
东园一村 3室1厅 东南 西南 西北 北,东园一村 ,3室1厅,84.36平米,东南 西南 西北 北,24,1989,陆家嘴,760,90
滨江南北双通透两房 地铁4号线塘桥内环内,国地公寓 ,2室1厅,87.04平米,南,6,1998,塘桥,722,82
2001年，售后公房，满五年，近9号线地铁，安静位置,崮山小区一街坊 ,3室2厅,86.38平米,南 北,6,2001,洋泾,780,90
售后公房一梯两户，内环内高 性 价 比，满五名下一套,苗圃路138弄 ,2室1厅,84.93平米,南 西北,6,1996,洋泾,600,70
户型正气 满五年免征个税 前后无遮挡,证大家园(三期) ,2室2厅,85.52平米,南,6,2005,金桥,730,85
采光通风好 动迁满五 总价低 南北户型 不靠路 近双轨,爱法新城 ,2室2厅,85.97平米,南,6,2006,金桥,599,69
8号线682米+精装修带50多平米大阁楼+近前滩+金色中环,世华锦城 ,2室2厅,79.81平米,南 北,6,2008,杨思前滩,651,81
前滩 一手动迁免增值税楼层好，户型方正，近地铁,三林新村(永泰路136弄) ,2室1厅,70.94平米,南 北,14,2012,三林,515,72
一手动迁，满五，业主诚意出售 带花园 价好谈,川杨新苑(三期) ,2室2厅,87.48平米,南 北,6,2010,张江,505,57
满五年，税费少，板式户型，全明，视野采光好,金恒小区 ,3室1厅,88.17平米,南,6,1995,北蔡,590,66
地铁6.8双轨 前滩三房 采光充足 两南一北全明一梯两户,凌兆新村(凌兆路396弄) ,3室1厅,87.43平米,南,6,1995,三林,515,58
中环内 小区配套齐全 居家装修 看房基本方便,三林世博家园(新浦路251弄) ,2室1厅,78.8平米,南,6,2006,杨思前滩,508,64
近地铁300米，楼上还有房间卫生间大露台，位置好,河滨城市花园 ,2室2厅,83.5平米,南,6,2006,曹路,575,68
樱花坊商品房小区，出门地铁口，满五年税费少,樱花坊 ,2室1厅,77.49平米,南,6,1995,花木,650,83
此房地段好 房龄新 交通便利 满五年且V一 顶楼带阁楼,芳华苑 ,2室1厅,83.21平米,南,6,2001,北蔡,595,71
链家优选房源，税费少，车位可租，高层视野开阔,日月光水岸花园（二期） ,2室2厅,87.8平米,南,13,2012,张江,780,88
张江南 人车分流 次新小区 精装修  满五年,绿地东上海三期 ,2室2厅,89.03平米,南,21,2014,周浦,650,73
一手买入，税费少，采光佳，诚意出售，小区中间位置,张江公馆 ,2室2厅,71.51平米,南,26,2015,唐镇,530,74
三轨交通 6/9/14号线  房东诚意出售 看房方便,金杨新村四街坊 ,2室1厅,73.02平米,南,7,1995,金杨,585,80
满五 自主保养好 南北户型  一梯二户 公园和地铁门口,张杨南苑 ,2室1厅,70平米,南,6,1995,洋泾,635,90
竹园高层电梯三房 售后公房 诚意出售 价格可谈,竹园高层 ,3室1厅,79.23平米,东南,26,1991,源深,630,79
小区花园位置，中间楼层，好房急售，看房方便,高海家苑 ,2室2厅,83.66平米,南,6,2011,高行,690,82
前滩板块，低总价，商品三房，全南户型，采光好,中海御景熙岸(公寓) ,3室2厅,88.41平米,南,18,2011,三林,560,63
店长推荐，近地铁，看房随时，户型正气，可上刘诗昆,由由七村 ,2室2厅,83.41平米,南,6,1995,北蔡,540,64
得房率85%，浦东模范，大厅带窗，采光好，车位充足,金桥新村四街坊 ,2室2厅,78.64平米,南,6,1997,金桥,640,81
03年社区，楼层佳，绿化好，位置安静，看房随时,始信北苑 ,2室1厅,71.53平米,西南 北,6,2003,金杨,650,90
K11规划万象城在建双地铁电梯次新房 价格好谈,金葵新城(西区) ,2室2厅,83.84平米,南,18,2012,金桥,505,60
近地铁8、13号线+户型方正+楼层好+税费少,德州五村 ,3室1厅,81.35平米,南,6,1994,世博,560,68
18号线地铁近 开发商装修 周康品质小区 诚意卖 税费少,中邦大都会 ,2室2厅,88.99平米,南,24,2016,康桥,638,71
248弄三房+动迁满五唯 一税费少+中楼层+地铁双轨交,香楠小区 ,3室1厅,86.91平米,南,6,2001,张江,560,64
金色中环规划+前滩三开间朝南+明珠C,新里城和合苑 ,3室1厅,82.81平米,南,6,1999,杨思前滩,750,90
公园景观，视野开阔，绿城物业，总价低。,大华锦绣华城(十八街区)(公寓) ,2室1厅,80.13平米,南,24,2006,北蔡,720,89
杉林新月环林东路799弄 2室1厅 南,杉林新月环林东路799弄 ,2室1厅,78.75平米,南,16,2004,三林,510,64
04年纯商品房小区+全明大两房+满五税少,绿川馨康苑 ,2室2厅,84.21平米,南,6,2004,北蔡,530,62
次新小三房，总价低，满五，高区，开发商精装修,浦发罗兰翡丽 ,3室2厅,87.75平米,南,18,2017,唐镇,799,91
南北通户型正气+中间楼层、位置安静+私立海富幼儿园,新里城和合苑 ,3室2厅,82.71平米,南 北,6,1999,杨思前滩,715,86
复式房 电梯顶楼带阁楼   视野开阔  近万达  近地铁,美林小城 ,3室2厅,89.54平米,南,14,2006,康桥,575,64
全明户型2房，南北通风，户型正气，位置好楼层佳,黄山始信苑 ,2室1厅,70.92平米,南,6,1998,金杨,650,91
杨思前滩板块-09年商品房-内中环板式两房-公园旁,吉利名苑 ,2室1厅,76.74平米,南,6,2009,杨思前滩,699,91
金色中环带，18年次新房，只要契税，采光好，配套齐全,绿洲康城亲水湾(中央区) ,2室1厅,71.83平米,南,20,2017,御桥,505,70
中环 精装修 三居室，户型好，诚意卖，随时可看房,东方御水湾 ,3室1厅,89.37平米,南,11,2012,御桥,720,80
高层使用面积+婚房精装修+业主诚意急售+随时看房,东方悦居 ,3室2厅,71.82平米,南 北,6,2008,杨思前滩,625,87
陆家嘴八佰伴地段，双南户型两房，精装入住，诚意出售,天后宫大楼 ,2室1厅,72.39平米,南,24,1989,陆家嘴,678,93
金泽苑一期+南北两房+视野开阔+户型正+采光好+不靠路,金泽苑 ,2室2厅,85.8平米,南 北,6,1999,金桥,618,72
04年商品小区，卧室客厅无遮挡，楼层好，随时看房,绿川馨康苑 ,2室2厅,84.39平米,南,6,2004,北蔡,570,67
非顶楼，高区采光好，满五年一套，税费少，看房便利,明珠苑(浦东) ,2室2厅,81.68平米,南,6,1997,洋泾,760,93
全南电梯景观房，看房方便，地铁方便。,德州一村 ,2室1厅,83.6平米,南,24,1997,世博,599,71
前滩辐射区，89平+8平，满五唯 一，高区，视野无遮挡,保利林语溪(公寓) ,2室2厅,89.79平米,南,18,2011,三林,528,58
一线河景房  瞰景高层  南北通透,新高苑(三期) ,2室2厅,89.28平米,南 北,11,2012,高行,563,63
电梯中高层，采光好，南北通透户型,川杨新苑(二期) ,2室1厅,89.78平米,南 北,14,2008,张江,515,57
店长推荐世博后滩精装修南北两房，拎包入住,新世纪花苑(三期)(浦东) ,2室2厅,77.74平米,南 北,6,2002,世博,570,73
明珠的复式房 复式房 复式房楼上面积大+可以自行设计,东方滨港园 ,3室2厅,88.98平米,南 北,6,2005,杨思前滩,799,89
洋泾内环内+双地铁+近滨江+税费少+太古汇辐射区,陆家嘴滨江公馆 ,2室1厅,76.4平米,南,29,1994,洋泾,570,74
近11号线双南电梯两房，三林热门盘，不靠路，免个税,永泰花苑 ,2室1厅,73.75平米,南,12,2005,三林,558,75
满五年，格局通透，声音安静，看房方便，近地铁双轨,爱嘉苑 ,2室2厅,89.48平米,南,6,2002,南码头,750,83
电梯高层 主卧次卧都改大了  格局很好 自己不用动,中海御景熙岸(公寓) ,3室2厅,88.58平米,南 北,20,2011,三林,630,71
前滩旁 品质好  房龄新 楼层好，一梯两户全明南北通,东旺名苑 ,2室1厅,77.32平米,南 北,6,2010,杨思前滩,680,87
中层双南大二房+户型正气+税少+九年建平学去+位置佳,黄山始信苑 ,2室1厅,70.6平米,南,6,1998,金杨,638,90
商品房，中间楼层，南北两房一梯两户诚意出售价位好谈,金桥好人家 ,2室2厅,82.84平米,南,6,2001,金桥,600,72
光鸿苑业主诚意出售房子，随时预约看房,光鸿苑 ,2室2厅,88.41平米,南 北,6,1998,南码头,730,82
开发商统一装修，楼层好，业主诚意出售,世茂云图 ,3室2厅,87平米,南,15,2017,康桥,630,72
地杰三期经典两房，户型方正，楼层位置好看房有钥匙,地杰国际城D街坊 ,2室2厅,80.25平米,南,18,2009,御桥,639,79
采光无遮挡，视野好，买入价高，楼层好,绿地康桥新苑 ,3室1厅,88.06平米,南,6,2004,康桥,527,59
